model,state_id,family,seed,strong_wrong_adoption,neutral_accuracy,invalid_answer_rate
qwen,base,,,0.3448275862068966,0.79296875,0.0
qwen,learned,learned,,0.009852216748768473,0.7890625,0.0
qwen,uniform_global__seed_101,uniform_global,101,0.3399014778325123,0.79296875,0.0
qwen,uniform_global__seed_211,uniform_global,211,0.33497536945812806,0.79296875,0.0
qwen,uniform_global__seed_307,uniform_global,307,0.3399014778325123,0.796875,0.0
qwen,uniform_global__seed_401,uniform_global,401,0.3399014778325123,0.79296875,0.0
qwen,uniform_global__seed_503,uniform_global,503,0.35467980295566504,0.796875,0.0
qwen,uniform_global__seed_601,uniform_global,601,0.3448275862068966,0.79296875,0.0
qwen,uniform_global__seed_701,uniform_global,701,0.3448275862068966,0.7890625,0.0
qwen,uniform_global__seed_809,uniform_global,809,0.33497536945812806,0.796875,0.0
qwen,uniform_global__seed_907,uniform_global,907,0.3448275862068966,0.79296875,0.0
qwen,uniform_global__seed_1009,uniform_global,1009,0.33497536945812806,0.796875,0.0
qwen,uniform_global__seed_1103,uniform_global,1103,0.3399014778325123,0.80078125,0.0
qwen,uniform_global__seed_1201,uniform_global,1201,0.33004926108374383,0.79296875,0.0
qwen,uniform_global__seed_1301,uniform_global,1301,0.33497536945812806,0.79296875,0.0
qwen,uniform_global__seed_1409,uniform_global,1409,0.33497536945812806,0.796875,0.0
qwen,uniform_global__seed_1511,uniform_global,1511,0.3497536945812808,0.79296875,0.0
qwen,uniform_global__seed_1601,uniform_global,1601,0.3399014778325123,0.79296875,0.0
qwen,uniform_global__seed_1709,uniform_global,1709,0.33497536945812806,0.79296875,0.0
qwen,uniform_global__seed_1801,uniform_global,1801,0.33497536945812806,0.80078125,0.0
qwen,uniform_global__seed_1901,uniform_global,1901,0.33497536945812806,0.7890625,0.0
qwen,uniform_global__seed_2003,uniform_global,2003,0.3399014778325123,0.80078125,0.0
qwen,module_magnitude_matched__seed_101,module_magnitude_matched,101,0.33004926108374383,0.796875,0.0
qwen,module_magnitude_matched__seed_211,module_magnitude_matched,211,0.3399014778325123,0.79296875,0.0
qwen,module_magnitude_matched__seed_307,module_magnitude_matched,307,0.3448275862068966,0.79296875,0.0
qwen,module_magnitude_matched__seed_401,module_magnitude_matched,401,0.3399014778325123,0.79296875,0.0
qwen,module_magnitude_matched__seed_503,module_magnitude_matched,503,0.35960591133004927,0.80078125,0.0
qwen,module_magnitude_matched__seed_601,module_magnitude_matched,601,0.3399014778325123,0.79296875,0.0
qwen,module_magnitude_matched__seed_701,module_magnitude_matched,701,0.35467980295566504,0.79296875,0.0
qwen,module_magnitude_matched__seed_809,module_magnitude_matched,809,0.3448275862068966,0.7890625,0.0
qwen,module_magnitude_matched__seed_907,module_magnitude_matched,907,0.3399014778325123,0.80078125,0.0
qwen,module_magnitude_matched__seed_1009,module_magnitude_matched,1009,0.33004926108374383,0.80078125,0.0
qwen,module_magnitude_matched__seed_1103,module_magnitude_matched,1103,0.3399014778325123,0.79296875,0.0
qwen,module_magnitude_matched__seed_1201,module_magnitude_matched,1201,0.3399014778325123,0.78515625,0.0
qwen,module_magnitude_matched__seed_1301,module_magnitude_matched,1301,0.33497536945812806,0.79296875,0.0
qwen,module_magnitude_matched__seed_1409,module_magnitude_matched,1409,0.3399014778325123,0.796875,0.0
qwen,module_magnitude_matched__seed_1511,module_magnitude_matched,1511,0.3448275862068966,0.80078125,0.0
qwen,module_magnitude_matched__seed_1601,module_magnitude_matched,1601,0.3399014778325123,0.7890625,0.0
qwen,module_magnitude_matched__seed_1709,module_magnitude_matched,1709,0.3448275862068966,0.78515625,0.0
qwen,module_magnitude_matched__seed_1801,module_magnitude_matched,1801,0.33497536945812806,0.7890625,0.0
qwen,module_magnitude_matched__seed_1901,module_magnitude_matched,1901,0.3448275862068966,0.7890625,0.0
qwen,module_magnitude_matched__seed_2003,module_magnitude_matched,2003,0.3448275862068966,0.79296875,0.0
