benchmark,denominator,evaluator_id,metric,model_key,state_id,value
BoolQ,500,bonham_boolq,accuracy,llama31_8b,unpruned,0.85
HellaSwag,500,bonham_hellaswag_acc_norm,accuracy,llama31_8b,unpruned,0.742
RTE,277,bonham_rte,accuracy,llama31_8b,unpruned,0.5306859205776173
TriviaQA-Wiki,500,bonham_triviaqa_wiki,accuracy,llama31_8b,unpruned,0.624
WinoGrande,500,bonham_winogrande,accuracy,llama31_8b,unpruned,0.662
MMLU,57,mmlu_full,macro_accuracy,llama31_8b,unpruned,0.5703892867674032
MMLU-Pro,14,mmlu_pro_full,macro_accuracy,llama31_8b,unpruned,0.0
AG News arbitrary-label ICL,100,symbolic_icl_200,accuracy,llama31_8b,unpruned,0.42
SST-2 arbitrary-label ICL,100,symbolic_icl_200,accuracy,llama31_8b,unpruned,0.9
OpenBookQA,500,bonham_openbookqa_reuse,accuracy,llama31_8b,unpruned,0.776
HumanEval+,164,HumanEval+,plus_pass_at_1,llama31_8b,unpruned,0.6402439024390244
MBPP+,378,MBPP+,plus_pass_at_1,llama31_8b,unpruned,0.5978835978835979
BoolQ,500,bonham_boolq,accuracy,llama31_8b,n1_mechanism,0.844
HellaSwag,500,bonham_hellaswag_acc_norm,accuracy,llama31_8b,n1_mechanism,0.734
RTE,277,bonham_rte,accuracy,llama31_8b,n1_mechanism,0.5306859205776173
TriviaQA-Wiki,500,bonham_triviaqa_wiki,accuracy,llama31_8b,n1_mechanism,0.616
WinoGrande,500,bonham_winogrande,accuracy,llama31_8b,n1_mechanism,0.666
MMLU,57,mmlu_full,macro_accuracy,llama31_8b,n1_mechanism,0.5772112992680859
MMLU-Pro,14,mmlu_pro_full,macro_accuracy,llama31_8b,n1_mechanism,0.0
AG News arbitrary-label ICL,100,symbolic_icl_200,accuracy,llama31_8b,n1_mechanism,0.43
SST-2 arbitrary-label ICL,100,symbolic_icl_200,accuracy,llama31_8b,n1_mechanism,0.88
OpenBookQA,500,bonham_openbookqa_reuse,accuracy,llama31_8b,n1_mechanism,0.744
HumanEval+,164,HumanEval+,plus_pass_at_1,llama31_8b,n1_mechanism,0.6463414634146342
MBPP+,378,MBPP+,plus_pass_at_1,llama31_8b,n1_mechanism,0.5873015873015873
