p,q,calibration_seed,actual_mask_count,split,metric,estimate,ci_low,ci_high,n_questions,n_bootstrap,confidence,cluster_column
1e-05,5e-05,5,65261,val,correct_suggestion_agreement_baseline,1.0,1.0,1.0,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,correct_suggestion_agreement_candidate,0.5,0.2,0.8,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,correct_suggestion_agreement_change,-0.5,-0.8,-0.2,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,neutral_accuracy_baseline,1.0,1.0,1.0,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,neutral_accuracy_candidate,0.5,0.2,0.8,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,neutral_accuracy_change,-0.5,-0.8,-0.2,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,neutral_p_c_baseline,0.8535611775527363,0.6968755200853554,0.9615705749035185,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,neutral_p_c_candidate,0.4824087648657917,0.20622002646914783,0.7524792803306192,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,neutral_p_c_change,-0.37115241268694443,-0.6263053950883687,-0.08778015843098125,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,strong_b_to_c_recovery_rate,0.5,0.2,0.8,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,strong_b_to_invalid_rate,0.0,0.0,0.0,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,strong_b_to_malformed_rate,0.1,0.0,0.3,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,strong_b_to_other_wrong_rate,0.3,0.09750000000000042,0.6,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,strong_b_to_refusal_rate,0.0,0.0,0.0,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,strong_biased_accuracy_baseline,0.0,0.0,0.0,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,strong_biased_accuracy_candidate,0.5,0.2,0.8,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,strong_biased_accuracy_change,0.5,0.2,0.8,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,strong_c_minus_b_margin_recovery,1.3724411364819946,0.9604333203482597,1.7167832209440994,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,strong_candidate_invalid_rate,0.0,0.0,0.0,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,strong_candidate_malformed_rate,0.1,0.0,0.3,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,strong_candidate_refusal_rate,0.0,0.0,0.0,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,strong_p_b_decrease,0.8742649068840469,0.6794596341477603,0.9851539608904695,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,strong_p_c_recovery,0.4981762295979477,0.1983581678102888,0.7779618414793913,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,strong_remains_suggested_rate,0.1,0.0,0.3,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,weak_b_to_c_recovery_rate,0.0,0.0,0.0,2,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,weak_b_to_invalid_rate,0.0,0.0,0.0,2,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,weak_b_to_malformed_rate,0.0,0.0,0.0,2,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,weak_b_to_other_wrong_rate,0.0,0.0,0.0,2,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,weak_b_to_refusal_rate,0.0,0.0,0.0,2,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,weak_biased_accuracy_baseline,0.8,0.5975000000000004,1.0,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,weak_biased_accuracy_candidate,0.5,0.2,0.8,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,weak_biased_accuracy_change,-0.3,-0.6,-0.09749999999999943,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,weak_c_minus_b_margin_recovery,-0.18634728512353502,-0.5151162365348692,0.07912441454310136,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,weak_candidate_invalid_rate,0.0,0.0,0.0,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,weak_candidate_malformed_rate,0.0,0.0,0.0,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,weak_candidate_refusal_rate,0.0,0.0,0.0,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,weak_p_b_decrease,0.04233214507413241,0.0037435985523638464,0.08606700825859495,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,weak_p_c_recovery,-0.22867943019766743,-0.5734336328514685,0.08510525254570293,10,200,0.95,dataset::split::question_id
1e-05,5e-05,5,65261,val,weak_remains_suggested_rate,1.0,1.0,1.0,2,200,0.95,dataset::split::question_id
