model,state_id,family,seed,strong_wrong_adoption,neutral_accuracy,invalid_answer_rate
llama,base,,,0.4348327566320646,0.76522506619594,0.0
llama,learned,learned,,0.11880046136101499,0.7625772285966461,0.0
llama,uniform_global__seed_101,uniform_global,101,0.42675893886966554,0.766107678729038,0.0
llama,uniform_global__seed_211,uniform_global,211,0.43367935409457903,0.766107678729038,0.0
llama,uniform_global__seed_307,uniform_global,307,0.4302191464821223,0.7625772285966461,0.0
llama,uniform_global__seed_401,uniform_global,401,0.43367935409457903,0.7669902912621359,0.0
llama,uniform_global__seed_503,uniform_global,503,0.43137254901960786,0.7678729037952339,0.0
llama,uniform_global__seed_601,uniform_global,601,0.4302191464821223,0.766107678729038,0.0
llama,uniform_global__seed_701,uniform_global,701,0.43367935409457903,0.7625772285966461,0.0
llama,uniform_global__seed_809,uniform_global,809,0.4348327566320646,0.764342453662842,0.0
llama,uniform_global__seed_907,uniform_global,907,0.43137254901960786,0.7669902912621359,0.0
llama,uniform_global__seed_1009,uniform_global,1009,0.43137254901960786,0.766107678729038,0.0
llama,uniform_global__seed_1103,uniform_global,1103,0.43137254901960786,0.76522506619594,0.0
llama,uniform_global__seed_1201,uniform_global,1201,0.43137254901960786,0.7625772285966461,0.0
llama,uniform_global__seed_1301,uniform_global,1301,0.43137254901960786,0.766107678729038,0.0
llama,uniform_global__seed_1409,uniform_global,1409,0.43252595155709345,0.764342453662842,0.0
llama,uniform_global__seed_1511,uniform_global,1511,0.4359861591695502,0.7687555163283318,0.0
llama,uniform_global__seed_1601,uniform_global,1601,0.4302191464821223,0.7625772285966461,0.0
llama,uniform_global__seed_1709,uniform_global,1709,0.4302191464821223,0.7669902912621359,0.0
llama,uniform_global__seed_1801,uniform_global,1801,0.4348327566320646,0.7687555163283318,0.0
llama,uniform_global__seed_1901,uniform_global,1901,0.43137254901960786,0.766107678729038,0.0
llama,uniform_global__seed_2003,uniform_global,2003,0.43252595155709345,0.766107678729038,0.0
llama,module_magnitude_matched__seed_101,module_magnitude_matched,101,0.4348327566320646,0.7669902912621359,0.0
llama,module_magnitude_matched__seed_211,module_magnitude_matched,211,0.4279123414071511,0.76522506619594,0.0
llama,module_magnitude_matched__seed_307,module_magnitude_matched,307,0.43137254901960786,0.7669902912621359,0.0
llama,module_magnitude_matched__seed_401,module_magnitude_matched,401,0.4279123414071511,0.766107678729038,0.0
llama,module_magnitude_matched__seed_503,module_magnitude_matched,503,0.43137254901960786,0.766107678729038,0.0
llama,module_magnitude_matched__seed_601,module_magnitude_matched,601,0.4302191464821223,0.766107678729038,0.0
llama,module_magnitude_matched__seed_701,module_magnitude_matched,701,0.43367935409457903,0.766107678729038,0.0
llama,module_magnitude_matched__seed_809,module_magnitude_matched,809,0.43137254901960786,0.766107678729038,0.0
llama,module_magnitude_matched__seed_907,module_magnitude_matched,907,0.4290657439446367,0.7669902912621359,0.0
llama,module_magnitude_matched__seed_1009,module_magnitude_matched,1009,0.43367935409457903,0.766107678729038,0.0
llama,module_magnitude_matched__seed_1103,module_magnitude_matched,1103,0.43367935409457903,0.764342453662842,0.0
llama,module_magnitude_matched__seed_1201,module_magnitude_matched,1201,0.43137254901960786,0.76522506619594,0.0
llama,module_magnitude_matched__seed_1301,module_magnitude_matched,1301,0.43367935409457903,0.76522506619594,0.0
llama,module_magnitude_matched__seed_1409,module_magnitude_matched,1409,0.4302191464821223,0.7705207413945278,0.0
llama,module_magnitude_matched__seed_1511,module_magnitude_matched,1511,0.43137254901960786,0.7669902912621359,0.0
llama,module_magnitude_matched__seed_1601,module_magnitude_matched,1601,0.43252595155709345,0.76522506619594,0.0
llama,module_magnitude_matched__seed_1709,module_magnitude_matched,1709,0.43252595155709345,0.76522506619594,0.0
llama,module_magnitude_matched__seed_1801,module_magnitude_matched,1801,0.43137254901960786,0.7669902912621359,0.0
llama,module_magnitude_matched__seed_1901,module_magnitude_matched,1901,0.4302191464821223,0.7616946160635482,0.0
llama,module_magnitude_matched__seed_2003,module_magnitude_matched,2003,0.43367935409457903,0.7616946160635482,0.0
